HomeTeam,AwayTeam,TotalMeetings,HomeWins,AwayWins,Draws,homepoints,homegoals_scored,homegoals_conceded,homewins,homedraws,homelosses,awaypoints,awaygoals_scored,awaygoals_conceded,awaywins,awaydraws,awaylosses
Arsenal,Everton,61,36,12,13,15,14,2,5,0,0,13,7,1,4,1,0
Brentford,Newcastle,5,0,4,1,10,9,3,3,1,1,10,14,5,3,1,1
Brighton,Man United,13,6,7,0,5,3,9,1,2,2,5,7,10,1,2,2
Burnley,Nott'm Forest,1,0,0,1,5,8,9,1,2,2,4,7,10,1,1,3
Chelsea,Bournemouth,13,7,4,2,10,12,9,3,1,1,6,6,8,2,0,3
Crystal Palace,Aston Villa,20,7,8,5,13,15,4,4,1,0,8,10,7,2,2,1
Liverpool,Wolves,19,15,2,2,8,12,10,2,2,1,3,4,12,1,0,4
Luton,Fulham,1,0,1,0,1,5,16,0,1,4,5,4,8,1,2,2
Man City,West Ham,45,28,9,8,15,20,2,5,0,0,4,7,15,1,1,3
Sheffield United,Tottenham,9,2,4,3,0,5,17,0,0,5,3,6,14,1,0,4
